texts,times
"Boeing $BA reports earnings tomorrow before the markets open, Wall ST is expecting numbers of

EPS of -$1.10 up 35.… https://t.co/q6lxaq6igC",2021-04-27
@HappyTexans How is it @boeing?,2021-04-27
RT @1971Kiyomizu: @howbza @d_s_thakur + $1 bn on two specially outfitted Boeing 777s for dear leader and dear figurehead leader of India,2021-04-27
"RT @LauraSavino747: The Boeing 747 is 50 years old. Hard to believe this was my first seat at United. Anybody else miss it? 
#avgeeks @Wome…",2021-04-27
"RT @FoxWithGuitar: wait

Boeing has already made the 707, 717, 727, 737, 747, 757, 767, 777, and 787 —and they’re currently working on the…",2021-04-27
RT @AirportWebcams: INCIDENT: Delta #DL89 LAX to Shanghai (Boeing 777-200ER N860DA) dumped fuel &amp; just returned to LAX with an engine issue…,2021-04-27
RT @tparsi: Iran Tries To Revive $16 Billion Deal For 80 Boeing Jets via @forbes https://t.co/nqXJqMXTP4,2021-04-27
RT @kenolin1: Last year Boeing lost $12 billion. It’s CEO made $21.1 million. Norwegian Cruise Line lost $4 billion. It’s CEO made $36.4 mi…,2021-04-27
"RT @stephenkinzer: After the nuclear deal with #Iran was signed, Iran contracted with #Boeing to buy 80 airliners.  #Trump killed the deal.…",2021-04-27
RT @kenolin1: Last year Boeing lost $12 billion. It’s CEO made $21.1 million. Norwegian Cruise Line lost $4 billion. It’s CEO made $36.4 mi…,2021-04-27
@adamscrabble @Alec_Mazo I understand that.  #AMC is top of the list for volatility right now.  I wish you all the… https://t.co/LpTJWOsB2k,2021-04-27
"RT @FoxWithGuitar: wait

Boeing has already made the 707, 717, 727, 737, 747, 757, 767, 777, and 787 —and they’re currently working on the…",2021-04-27
RT @JamesMontanus: Happening along the Lakeshore right now... This guy was just hanging out - literally. Like right out the back of the hel…,2021-04-27
RT @kenolin1: Last year Boeing lost $12 billion. It’s CEO made $21.1 million. Norwegian Cruise Line lost $4 billion. It’s CEO made $36.4 mi…,2021-04-27
RT @kenolin1: Last year Boeing lost $12 billion. It’s CEO made $21.1 million. Norwegian Cruise Line lost $4 billion. It’s CEO made $36.4 mi…,2021-04-27
"RT @WhistleblowerHB: #Whistleblower News:

#Boeing Pays Pentagon $10.7M to Settle Double-Billing

SEC Obtains Emergency Relief, Charges #Fl…",2021-04-27
RT @kenolin1: Last year Boeing lost $12 billion. It’s CEO made $21.1 million. Norwegian Cruise Line lost $4 billion. It’s CEO made $36.4 mi…,2021-04-27
Veterans bring the best of their service to @BoeingAustralia platforms and programs to keep frontline personnel saf… https://t.co/VFhb24ml7H,2021-04-27
@FoxWithGuitar They’ll use Ubuntu Linux naming scheme. I look forward to flying Boeing 4.10 Warty Warthog,2021-04-27
🤩Check out that stylish hat! You still have a chance to get some fun fan swag for Spring Meeting but you need to re… https://t.co/4OQ6cZaQr2,2021-04-27
RT @kenolin1: Last year Boeing lost $12 billion. It’s CEO made $21.1 million. Norwegian Cruise Line lost $4 billion. It’s CEO made $36.4 mi…,2021-04-27
"Callsign: #LFTR02 
Boeing-Vertol Chinook HC.6 of Royal Air Force  
Reg: #ZK554 | Alt: 3013ft | Squawk: 3702 | Icao:… https://t.co/v523O8AB1o",2021-04-27
"#Whistleblower News:

#Boeing Pays Pentagon $10.7M to Settle Double-Billing

SEC Obtains Emergency Relief, Charges… https://t.co/aAr4fxzWRc",2021-04-27
RT @JamesMontanus: Happening along the Lakeshore right now... This guy was just hanging out - literally. Like right out the back of the hel…,2021-04-27
"RT @simple_flying: Just three airlines will use the Boeing 757 from North America to Europe this year, with the type… https://t.co/0axwdmy0…",2021-04-27
"RT @simple_flying: In 2019, Delta Air Lines debuted a brand new business class product onboard its Boeing 767-400ERs. An upgrade… https://t…",2021-04-27
Boeing butts https://t.co/4NL95oywoX,2021-04-27
RT @BoeingSpace: The @NASA_SLS core stage coming to @NASAKennedy is built to power giant leaps. It is the backbone of the exploration rocke…,2021-04-27
"RT @GeminiJets: TUESDAY TRIPLE! @GeminiJets 1:200-scale @AirChinaNA  B777-300ER B-2086, item G2CCA475. Buy it now from a GeminiJets retaile…",2021-04-27
@661_aac @facdd @439Westover @massairports @Daedalians @PeoplesMosquito @spitfireprxix @marcin_par My money's on a Boeing 747F.....,2021-04-27
"RT @GeminiJets: TUESDAY TRIPLE! @GeminiJets 1:200-scale @AirChinaNA  B777-300ER B-2086, item G2CCA475. Buy it now from a GeminiJets retaile…",2021-04-27
"RT @GeminiJets: TUESDAY TRIPLE! @GeminiJets 1:400-scale @AmericanAir B777-200ER N797AN, item GJAAL1869. Buy it now from a GeminiJets retail…",2021-04-27
@FoxWithGuitar Pull a Windows and say the 797 will be the last Boeing airliner and they'll just keep updating the a… https://t.co/yD40d2527v,2021-04-27
RT @RobertGarcia: Long Beach is now a nationwide leader in the space economy and we have more space &amp; tech companies than any other city on…,2021-04-27
RT @margibby: @CNN I am a very proud retired Technical Analyst of the Rockwell International/Boeing Space Systems Division. This video boug…,2021-04-27
RT @kenolin1: Last year Boeing lost $12 billion. It’s CEO made $21.1 million. Norwegian Cruise Line lost $4 billion. It’s CEO made $36.4 mi…,2021-04-27
"RT @TroopsHomeUS: Liz Cheney is always working hard for her constituency: Raytheon, Lockheed Martin, Northrop Grumman, Boeing, General Dyna…",2021-04-27
@OnDisasters We stored the fuselage in our hanger until Boeing came and got it.,2021-04-27
"@ConsultingCso @6502nerd @JohnKennedyMSFT @ZxSpectROM @shieladixon Crimson workstations with an s...

I have 1.5 cr… https://t.co/aggskm2Kea",2021-04-27
@MaidMoorina Tops aren’t real they’re all just Boeing 747s,2021-04-27
RT @kenolin1: Last year Boeing lost $12 billion. It’s CEO made $21.1 million. Norwegian Cruise Line lost $4 billion. It’s CEO made $36.4 mi…,2021-04-27
"Saw more yellows than Groening, decided to put a Matt'e finish on 737 boeing. #MattGroening",2021-04-27
"RT @BadVR_Inc: Did you know? The term AR, or  “Augmented reality” was coined at Boeing in 1990 by researcher Tom Caudell.  ✈️ 

#VR #Virtua…",2021-04-27
@TraaaashPanda @FoxWithGuitar Me getting my hands on that Boeing 808 plugin to get that VRRRRRRRRR,2021-04-27
Biden did say he wanted to be a transformative president. War with Iran is much more transformative than a war with… https://t.co/tIeQnncNB8,2021-04-27
RT @kenolin1: Last year Boeing lost $12 billion. It’s CEO made $21.1 million. Norwegian Cruise Line lost $4 billion. It’s CEO made $36.4 mi…,2021-04-27
RT @BoeingSpace: The @NASA_SLS core stage coming to @NASAKennedy is built to power giant leaps. It is the backbone of the exploration rocke…,2021-04-27
"RT @azcommerce: We're looking forward to Arizona #STEM Signing Day! On April 29, we hope you join us in celebrating Arizona students who ha…",2021-04-27
